created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,text,id,referenced_tweets_type,referenced_tweets_id,media
2024-10-04T16:39:44.000Z,29813965,24,1,294,2,47,40746,Deep dives into Hinduism aka Sanatan Dharma with the modern day SAGE @naval https://t.co/CKPw56ybkj,1.84E+18,replied_to,1.84E+18,video
2024-10-04T16:39:10.000Z,29813965,60,6,508,13,174,52958,"Could never create a Naval episode without deep diving into ""happiness"" https://t.co/MESHcd3iXA",1.84E+18,replied_to,1.84E+18,video
2024-10-04T16:38:46.000Z,29813965,19,2,313,1,64,56993,"Consider this episode as an unofficial sequel to the epic @joerogan episode that featured @naval. 

That was the reference point for many of the questions. https://t.co/6T8szLre9x",1.84E+18,replied_to,1.84E+18,video
2024-10-04T16:38:13.000Z,29813965,23,2,446,1,96,55971,What is the deeper meaning of love  &amp; romance? https://t.co/xavDYU00rh,1.84E+18,replied_to,1.84E+18,video
2024-10-04T16:37:36.000Z,29813965,19,14,731,5,91,65372,This was the most casual version of Naval that the internet has seen yet. https://t.co/oAAyLIkfNJ,1.84E+18,replied_to,1.84E+18,video
2024-10-04T16:37:01.000Z,29813965,376,245,11212,105,1876,1102020,"Fulfilled a life long dream of shooting a podcast with @naval.

Here's some highlights... https://t.co/2dCFHlZ5iv",1.84E+18,,,1_image
2024-10-04T05:07:36.000Z,29813965,0,1,33,0,0,4934,@EricJorgenson @naval @TRSOriginals Appreciate it my brother! Thought about our episode a lot in the lead up to this 🙏🏻💥🤍,1.84E+18,replied_to,1.84E+18,
2024-10-03T17:26:08.000Z,29813965,0,3,56,0,0,12524,@CricTalk29 @naval @TRSOriginals Appreciate you guys ♥️,1.84E+18,replied_to,1.84E+18,
2024-10-03T14:05:07.000Z,29813965,484,671,12766,278,536,613829,"TRS goes international tomorrow. 
Couldn't have dreamt of a better first guest than @naval

India to the world baby 🇮🇳💥♥️

#NavalRavikant #BeerBiceps

@TRSOriginals : 9 years of work are paying off at 9pm tomorrow. https://t.co/Mkkwlb5QtI",1.84E+18,,,multiple_images
2024-10-03T11:59:49.000Z,29813965,34,100,1780,29,32,181001,Coming up? Coming up. https://t.co/ZunLrDKnLE,1.84E+18,quoted,1.84E+18,
2024-10-02T12:12:32.000Z,29813965,2,5,97,1,7,17471,"The REAL question that every Indian football fan asks 🇮🇳

#IndianFootball #EPL #BeerBiceps https://t.co/1L3dILMATO",1.84E+18,,,video
2024-10-01T13:01:32.000Z,29813965,26,20,520,1,84,26638,Didn't get so far to only get so far ⚡️ https://t.co/NYjUML3LsT,1.84E+18,,,video
2024-10-01T08:27:14.000Z,29813965,1,7,33,0,3,11900,"Don't be a fossil in the age of fast-paced &amp; timely investments! ⚡️🇮🇳♥️

Loving how @mstock_in makes investing easy! The app’s clean design and unique features are perfect for quick decisions and smart moves.

Take a look at the ad and #ThinkSmartSwitchToMstock @mstock_in https://t.co/mwRBkHgIlG",1.84E+18,quoted,1.84E+18,
2024-09-27T13:23:55.000Z,29813965,982,748,19348,153,457,804697,"Channels are back. Now, the podcast will go International 💪🏼♥️🇮🇳

Thank you YouTube. https://t.co/VAlWqUMp2w",1.84E+18,,,video
2024-09-25T12:49:35.000Z,29813965,848,1006,7920,188,882,851154,"Recorded this podcast for India. Spread love, not anger ♥️ https://t.co/xId9PE3OFL",1.84E+18,,,video
2024-09-24T13:08:19.000Z,29813965,62,45,796,6,204,246804,"Thoughts I've had about having children :

1. Perhaps having kids is the 4th most important aspect of a human birth. The others being :
- Spiritual growth.
- Taking care of your parents
- Giving back to society, through your work.

2. I'm sure that the birth of your kids makes… https://t.co/XSH6u6A9fH https://t.co/ftQLUc6pbD",1.84E+18,,,video
2024-09-24T05:10:54.000Z,29813965,1,1,4,0,1,2213,@BhaskarS77 💙💙💙 onwards to a better future bro,1.84E+18,replied_to,1.84E+18,
2024-09-24T05:06:43.000Z,29813965,0,2,39,0,1,5801,@farbood Pleasure speaking with you and honour meeting you Prince of Persia 🙏🏻♥️,1.84E+18,replied_to,1.84E+18,
2024-09-24T05:06:13.000Z,29813965,6,17,332,1,17,192565,"Building new brotherhoods with some of the best ♥️

Shooting 4-5 episodes outside of India for the first time! Couldn't have asked for a better life 🙏🏻

Can't wait to put these stories out ⚡️ https://t.co/9BJMBogOAx",1.84E+18,quoted,1.84E+18,
2024-09-10T08:38:03.000Z,29813965,19,15,413,2,27,109716,"Attitude every day of my waking life.

Believe in yourself and in the hours that you've put in. https://t.co/koUQdXt995",1.83E+18,quoted,1.83E+18,
2024-08-27T05:06:03.000Z,29813965,359,171,8060,49,280,518600,Life is good... https://t.co/R0FjHvrwIV,1.83E+18,,,video
2024-08-15T13:51:00.000Z,29813965,2368,271,21116,88,636,798108,💔 https://t.co/X8wvgJ7A5n,1.82E+18,,,video
2024-08-04T15:26:27.000Z,29813965,39,35,456,3,36,56871,"Education is one of the most important gifts that your parents gift you.

Yes, the education system can be drastically improved.

But nothing prepares you for life like :

- Exam Preparation 
- Academic Failure
- The Sports Field
- College Politics
- Heart Ache
- Friendship",1.82E+18,,,
2024-07-20T08:20:31.000Z,29813965,11,31,187,1,6,45650,"Do not chase profit &amp; PR for they are temporary.

Chase longevity &amp; legacy for they can be permanent.",1.81E+18,replied_to,1.81E+18,
2024-07-20T08:18:50.000Z,29813965,25,76,483,6,31,64033,Do not sacrifice your reputation &amp; relationships for profits &amp; PR.,1.81E+18,,,
2024-07-14T21:45:32.000Z,29813965,7,45,870,1,19,78669,Memories to last a lifetime 🤍 https://t.co/8QDVRnMT49,1.81E+18,quoted,1.81E+18,
2024-07-06T08:10:25.000Z,29813965,1,13,49,0,1,29558,Looking for the next 10 @AbhijitChavda prototypes,1.81E+18,replied_to,1.81E+18,
2024-07-06T08:09:59.000Z,29813965,4,75,184,1,6,43382,"Want to do a podcast on Egyptology. 

And want to do countless more on world history.

Any guest suggestions? Need great communicators.",1.81E+18,,,
2024-07-01T09:15:36.000Z,29813965,0,1,15,0,0,2333,"@jats72 @ImRo45 @imVkohli Can't wait to release this, sir! Had a blast 🇮🇳♥️",1.81E+18,replied_to,1.81E+18,
2024-06-30T15:39:40.000Z,29813965,131,106,3601,14,29,99375,How is it possible for a sport to boost an entire country's mental health?! 🥹🇮🇳🏆💪🏼,1.81E+18,,,
2024-06-29T19:36:07.000Z,29813965,82,21,2228,2,21,60199,Every millennial cricket fan understands this on a deeper level 🥹🇮🇳♥️ https://t.co/7yCQ5YlA5Y,1.81E+18,quoted,1.81E+18,
2024-06-27T10:38:54.000Z,29813965,14,127,355,8,25,43776,"@Sanjay_Dixit Cutie yeh baat pls aap @thepeeinghuman aur mere bhai @dhruv_rathee ko bhi samjhao

Baaki sab kaisa chalra hai sanju bhaiyya? Forgave her yet? Don't worry you are loved 🤗🫶🏼♥️",1.81E+18,replied_to,1.81E+18,
2024-06-23T15:56:27.000Z,29813965,3,13,138,0,11,27026,"In the chase for greater visibility, be careful not to overexpose yourself.

Exclusivity &amp; reclusiveness are  powerful methods to portray ""clout"".

Good PR is an art. 

Less is more.",1.80E+18,replied_to,1.80E+18,
2024-06-23T15:56:26.000Z,29813965,14,63,575,7,19,56732,"Being on a podcast is the new PR.

Being on every podcast is the new PR mistake.",1.80E+18,,,
2024-06-23T07:30:51.000Z,29813965,7,43,203,3,6,35865,"See a lot of folks my age completely giving up on eating cheese.

This is different than adopting veganism.

Cheese (&amp; not paneer) seems to be causing skin &amp; stomach trouble for a lot of people.

Need more restaurants serving vegan cheese based options :(

Thoughts?",1.80E+18,,,
2024-06-22T10:11:53.000Z,29813965,8,11,119,1,13,19609,"Warrior mindset : Do no harm, take no shit. https://t.co/2VHDyJF2ze",1.80E+18,replied_to,1.80E+18,1_image
2024-06-22T10:11:50.000Z,29813965,10,26,186,2,9,25045,"Nirbhau Nirvair (ਨਿਰਭਓ ਨਿਰਵੈਰ) :  Without fear, without hatred.

There are blessings associated with being born within Punjabi culture. 

This mentality is the greatest of all the blessings.",1.80E+18,,,
2024-06-21T08:39:09.000Z,29813965,0,7,29,0,0,13446,God is great 🏏🇮🇳♥️🙏🏻,1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:08.000Z,29813965,1,3,15,0,0,15970,"Having fun :

https://t.co/Ncfnf9byiF",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:08.000Z,29813965,1,1,5,0,0,2885,"Getting a chance to tell untold stories :

https://t.co/ilKUVgxL0F",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:07.000Z,29813965,0,1,5,0,0,1438,"Being a part of MODERN cricket narratives :

https://t.co/HQQgi2NyLc",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:06.000Z,29813965,0,1,3,0,0,1321,"Fascinating my elders with where my career is taking my soul :

https://t.co/pUh2J1X3xb",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:05.000Z,29813965,0,1,4,0,0,1239,"Getting paid to speak with the guys who shaped my mentality :

https://t.co/5Z4jHg3Hry",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:04.000Z,29813965,0,1,5,0,0,1182,"Seeing the human side of legends :

https://t.co/6YigZ752qE",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:03.000Z,29813965,0,1,4,0,0,1148,"Learning from warriors :

https://t.co/am49Cd43FQ",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:02.000Z,29813965,0,1,5,0,0,1186,"Giving my heroes in-person gratitude :

https://t.co/3gX0kdi55t",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:01.000Z,29813965,0,7,21,1,2,16978,"Forming new brotherhoods :

https://t.co/4XO5FP1UAI",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:39:00.000Z,29813965,0,6,11,0,0,9958,"Dream come true :

https://t.co/9e2O25zvbN",1.80E+18,replied_to,1.80E+18,
2024-06-21T08:38:59.000Z,29813965,1,27,243,2,8,24039,"Heart to heart : 

There's no joy that compares to meeting your childhood heroes in person.

Cricket podcasts are the heartbeat of this phase of my career.

Extremely fulfilling and extremely exciting!

So much more to come 🏏♥️🇮🇳",1.80E+18,,,
2024-06-19T16:13:27.000Z,29813965,1,1,30,1,0,3973,@Akshat_World DMing you!,1.80E+18,replied_to,1.80E+18,
2024-06-19T15:57:27.000Z,29813965,0,2,7,0,0,705,"@rohini_thakur91 Actually, yes! Already written 3-4 stories in the sci-fi genre. Can't wait for the 2030s 👽",1.80E+18,replied_to,1.80E+18,
2024-06-19T15:56:45.000Z,29813965,0,0,6,0,0,796,@alphavishall Excited af about using AI to tell stories!,1.80E+18,replied_to,1.80E+18,
2024-06-19T15:37:11.000Z,29813965,1,23,171,0,6,22739,"Really wanna direct feature films at some point...

But the momentum of (&amp; joy derived from) content creation is too high!

Perhaps in 10 years, content creation will be all about AI generated fiction content (short films).

Or perhaps this will only be an unrealised dream...",1.80E+18,,,
2024-06-19T11:40:48.000Z,29813965,21,119,530,7,27,47860,"Them : See my expensive car/clothes/life!

Me (in my thoughts) :-
Will this come along with you in the afterlife? 

What childhood wound is this healing brother??

The known universe is 93 billion light years wide, why are you giving so much significance to money???

ੴ",1.80E+18,,,
2024-06-19T09:24:11.000Z,29813965,1,4,76,1,0,9429,"@Akshat_World To begin with, we could debate about whether or not there's value in doing podcasts.

But to be honest I'm looking forward much more to picking your brains on fatherhood...

Happy to debate with you &amp; learn from you in equal measure!

Parul Gulati is invited as well 👻",1.80E+18,replied_to,1.80E+18,
2024-06-18T06:30:48.000Z,29813965,1,1,100,0,0,8471,"@WasimJaffer14 Sir! Had a very memorable time with you 🤍

All the love and all the gratitude 🤗",1.80E+18,replied_to,1.80E+18,
2024-06-18T06:20:07.000Z,29813965,12,99,930,7,15,91418,"@Akshat_World I invite you to debate with me on the show bro 😂🤍

All the love, learnt a lot from you. But hoping to host you on TRS soon!",1.80E+18,replied_to,1.80E+18,
2024-06-16T13:45:46.000Z,29813965,32,158,575,8,99,70480,"Spoken to monks, billionaires, soldiers &amp; athletes.

The following is my theory on the journey of the human soul.

These are the wishes of any soul (chronological order) :-

1. Pleasure.

2. Wisdom.

3. Success.

4. Peace.

5. Detachment.

6. Liberation.

Where have you reached?",1.80E+18,,,
